Name,Title,Company,Status
Andreas Fouras,CEO,4DMedical (4DX),Verified
Heath Sharp,CEO,Reliance Worldwide,Verified
Lead Search,Logistics Mgr,Intermodal Trucking,Pending
Market Research,Executive,Tend / Pictor,Verified
Data Source,Database,Crunchbase,Verified
Sales Intel,Platform,ZoomInfo / Apollo,Verified
Verified,Sarah Jenkins,VP of Operations,Global Logistics Solutions
Verified,Marcus Thorne,Managing Director,Thorne Asset Management
Verified,Elena Rodriguez,Head of Supply Chain,Apex Manufacturing
Verified,David Chen,Chief Technology Officer,Nova Health Systems
Verified,Julian Vane,Director of Strategy,Vane & Associates
